sha256,sha1,md5,dex_date,apk_size,pkg_name,vercode,vt_detection,vt_scan_date,dex_size,markets
00006F6EB9A7B8E3ED9869D91C971963B4687CAF8102B803749F3E0AD6CEC06A,30EBB18B728FD07CA9F22C84AF61EE51ADF85240,8833DC5817681192A91A84AF896D5013,1980-01-01 00:00:00,5564435,"com.softsolutions.ilmkidunya.govtjobs",20,0,2018-10-19 12:50:57,8505976,play.google.com
0000716BF3C42807F4F7D11F983CBD0AD3A7BB60C60FCEEC2141C2DF7ECDAC03,FA064FBA5DD82DA71731565A94AFB3B9D79FD96E,D67F99EE71DFABFE6AF3AE281D3412ED,2016-04-11 19:41:16,24023569,"kevinj.instasquare.instasizenocrop.squarequick.emoji.maker",2,7,2016-06-16 02:08:53,11928,play.google.com
00007302CF9365E2E81C06DE26F6CF276BB4B4E7A2090CD07A6DD07ACB480FC0,C30C1DA761DB351CA62021758D3A1835B18F7DE2,FC02E1E956E9E601335374077A99170C,1980-01-01 00:00:00,20940887,"com.CantoJilguero.dosendev",21,0,2017-12-27 05:54:10,4718280,play.google.com
0000730EA89FBBE53A526474F9C6281F769825EF8BBB91E5488B893C8865B6E2,AFDD23C0A67CA6ABA891534E2945DDE895D8A063,BA8E316F6C931CD06C184BA91CF7F1FC,1980-01-01 00:00:00,35031617,"com.stt.android",3059700,,,8555780,play.google.com
0000751D270946F8EB9488B1A49FE747CB263B2A888A575EBC4724A039E5FFE5,74a3225938ee5c614a727b9d8c67dc358bad7eae,6bdeb261b9dac81d595ee9761d4f48f4,2014-07-28 22:09:40,2884755,"com.whiture.apps.hindi.modi",4,0,2014-08-04 01:35:49,3709872,PlayDrone|play.google.com
00007877B9F6860C9901962CC57179FEBC9D8E8F18A783F7DFCF67A0827DF9FA,c032813498d966c44dd199bf86daa0976c41f050,1eacf45968a75dd454170b89478e522d,2014-06-20 16:43:42,7568370,"cn.dxy.inderal",20140620,1,2014-06-28 07:21:15,1507732,appchina
000080C1F8FD8CD4A208469E5B21518F0106C33FFE21367ACB128887EA2A5974,494775E1B65B628A9EDE1FC6493373E74C1AD373,63405A4B2F46B000097C8E12C77FB501,2016-05-04 11:06:06,7418528,"com.nicescreen.screenlock.ak47HD",13,1,2016-05-09 22:28:18,7357504,play.google.com
000084C03387BAF32B9E91B532AA02AED26A803B32F5986F72F2BE5CFCB1A61D,1AD161455A8F2048C8D2579C0E0A9CE3CC3871BF,1315CFD94FB5992015BE880625525782,1980-01-01 00:00:00,16949129,"com.toguna.app",46,0,2018-08-12 03:51:15,7399728,play.google.com
000086EB3BD03827407AEF16D67DE013D4242D9910B0FC74BB77F8BE486A1156,80C2D47B2D1F4379E697F746F15C2D886CD50B61,5E851637A2836AA3F20ED8935431E52F,2014-09-29 14:37:50,1948120,"mema.akngahh",2,7,2019-07-08 06:58:01,4615888,PlayDrone
00008B28A5312BA8E059D32630C5AA2F6302FF7993D0D3C4B59521646104533B,DA4E238E04892C310667BBA3E499EB83183678DE,85AAB1EF1BB79895707B6919C64CA77D,2012-03-05 00:12:44,966093,"com.hudee.mama4f5394573f4bb89dbb55e6db",7,0,2015-06-15 01:49:05,309268,appchina
00008CB6CE7752544B147FE76B70A635DB9A610DB45B06C5C78EFE7C7AFA1079,284D7AEF72AACCC89EF0C1204CD7CA46D8DA2EF4,3424BC3280F878E5474F7A2F50A0BDF6,1980-01-01 00:00:00,2599976,"it.gp.radiolidi",8,0,2017-08-17 09:18:29,2201160,play.google.com
00008D5D66034192532EC6D566DD05CF29BB8CC6522723BC0D896FA4B8EFBDBC,D1636DB0A1AE165B5FD109B4B753617EB4B37739,945760F3FCA410E5BD47970D8EC03A3A,1980-01-01 00:00:00,9833003,"com.ubik.mobileapp",10008,0,2018-09-26 12:27:31,4239696,play.google.com
00008E0B8F27CFCDFA2A73A45A4450B0D5255F63C8B5AE407AEEF0DEA9842174,115edb7c08007d5572464f0ab32c8bbf59910465,75936422e748af04e008c46ff10b4a5f,2012-11-14 07:28:36,2154205,"com.teslacoilsw.launcher",19000,1,2014-02-19 04:48:07,1004376,angeeks
0000902CE208C7445BEAEC0C9496969D7A752D1BF6577DB78845F336253E1281,9844185C70041DFDAF5E92E466F70CD56D008C0F,A9CA6517E275815096AD9457FDB9E451,2015-07-21 21:50:06,6617857,"com.soulmadeapps.beritaindonesiarss",30,0,2016-02-12 16:45:27,2838448,play.google.com
000091F2FAC1083DC578240ACF9D24EDE3CE7B9F9E517B37F44A2CDAE0FF0FB3,1ebbb604915f38ecaab735294af8bd1652d77e3e,fb3fd960361ba4d55544f9c38e88c5b5,2014-03-07 07:54:00,2594870,"org.vv.calc.practice",183,11,2014-05-28 07:51:54,20124,anzhi
000092A8DA744FC82D40AC8A6C9A4089F2FEC279DAC68320A1047948A1F74045,9feef55177e216bb0224071821fb0e2aa405c774,046b40cf02fe0974ff9836a7e18e504e,2012-09-11 08:47:28,9507753,"com.papeda",1,0,2012-10-05 09:50:55,395524,PlayDrone|play.google.com
0000962C2C34DE1CA0C329B18BE7847459DA2D9D14B6B23A21CBC6427522403C,c907d500f56e6f52113c4bb0c1a3a0dc29082bbc,77392c8a05a000697307a144519c0f13,2011-06-01 21:46:08,7867615,"com.iamyub.AndTTTip",1,0,2012-10-23 23:53:49,30512,PlayDrone|play.google.com
000097DA80DCB357CF4EFFCF60387AD2A243635F20336C09944974C8877207F9,eedefaf6b1e1d03a755552e06593f696fd6d3ee6,e7709861ee04f06a757f9a796ad1a25b,2014-01-27 09:44:20,1867196,"no.terra.android.rorosbanken",56,0,2014-07-12 07:35:57,469972,PlayDrone|play.google.com
00009852E6465D7680ACDC4D0D747908AF930E184F9B7DC520D9B4A6859FD7C2,D5850A785893B59DF752C9D5D52EBDF009238903,2798E058AAF97B383FE8934630ADEEF0,1980-01-01 00:00:00,6049306,"com.successapp.magnifier",7,0,2019-10-05 02:44:59,3901240,play.google.com
000098EA542A141F940CDB53F99A9790F34FE3B2D1D84E693D6C21FC1810D50A,0B712E6A02D83F7EB1BC7DF37F02D7FB46F837C3,01B0DB492D7EF531CD205B099C5C76CD,2016-05-20 18:11:16,10398919,"com.zabuzalabs.balloonbowarrow_football",6,0,2016-07-21 11:11:15,4294280,play.google.com
00009C523927B0F2AF2D42F896299AFF90207AE8164BBB757B661268ABA27F64,7D6EC95E49A04781C736E732F609108B42FA4703,4CBDB154C9C0DF17B912A8E3156CA7AC,1980-01-01 00:00:00,27933373,"com.tailoredapps",299,0,2018-10-24 02:13:54,9316568,play.google.com
00009D04ABCCEF4D9FBCB60E3647715172797A133DF7480DC14B7921AFF44EED,5F8207E003D14972FAAA1AF35A971FC10237BBB7,3E7AB0EA14A75E83131855BE0901955A,2014-12-23 23:48:08,2207195,"ndr.nikoolin.bullsandcows2",4,0,2016-02-11 19:00:08,1070548,play.google.com
00009D0B2F475234E3EE4C80F2D442C8480F59DC82C81F4BDC19550410998F64,93A8BFFBB601261A84F18259F9BE58BBDFF54F3C,4D2B56B2E5437B126C2B0980C599E8C9,2015-07-18 12:24:52,5796277,"com.slideme.sam.manager",11097,0,2016-03-18 17:23:07,6112160,slideme
00009D535D4B429F0DD0B505A3A3645F0D28EF023AF91D44A502E4BD10580CE0,0a192b1f928b7679ab4fa3f175cbebdd01974a73,178c500c59416573e0c2b38b99eeb51e,2014-08-08 12:04:06,3791832,"com.oks.atos",6,0,2014-08-14 22:21:53,410696,PlayDrone|play.google.com
